bertopic,author,platform,url,content,newPostID
1,wearebreitbart,instagram,https://www.instagram.com/p/ClUV89apT-U/,"Dr. Anthony Fauci is sounding the alarm again contending that the “real danger” will be among the unvaccinated this winter.

Speaking at his final White House press conference before stepping down as Director of the National Institute of Allergy and Infectious Diseases (NIAID) Chief of the NIAID Laboratory of Immunoregulation and Chief Medical Adviser to President Joe Biden Fauci sounded the alarm not only urging testing and vaccination but contending that the “real danger” will be among unvaccinated Americans.

“But the people who are most at risk are the unvaccinated.  I mean we have — 68 percent of our population is vaccinated.  You know that means that we have 32 percent of the population that’s not” he said.

That data coincides with the findings of September’s survey from The Economist/YouGov indicating that three in ten Americans have not received a coronavirus jab. Fauci however cited general data asserting that unvaccinated individuals are more at risk for hospitalization or death. However he did not mention the growing instances of vaccine-related complications including “the relative incidence of cardiac-related death among males 18-39 years old within 28 days following mRNA vaccination” as detailed by a Florida Department of Health analysis leading the state to update its guidance on mRNA vaccines recommending against them for men under the age of 40.

“And if you look at the data they are just profoundly striking of the curves of death and hospitalization of unvaccinated versus vaccinated versus vaccinated and boosted” Fauci claimed adding “So there is a relatively smaller difference in vaccinated and unboosted versus vaccinated plus boosted.  That doesn’t mean you shouldn’t get boosted.”",instagram_1509241|2978101801689366420
71,theshaderoom,instagram,https://www.instagram.com/p/CbDlwxWPaPY/,#TSRPrayersUp: Former President #BarackObama shares he tested positive for COVID-19. We’re wishing him a speedy recovery 🙏🏽(SWIPE) 📷:(@gettyimages ),instagram_164131|2793242273142121432
13,theshaderoom,instagram,https://www.instagram.com/p/CSXl8HEpXpP/,#PressPlay: Whew! This is my same reaction while taking a COVID-19 test 😩 #DaBaby,instagram_164131|2636742965332376143
28,hoodratchetv,instagram,https://www.instagram.com/p/CTnYzygr_wW/,"WASHINGTON (AP) — President Joe Biden on Thursday is announcing sweeping new federal vaccine requirements affecting as many as 100 million Americans in an all-out effort to increase COVID-19 vaccinations and curb the surging delta variant that is killing thousands each week and jeopardizing the nation’s economic recovery.

The expansive rules mandate that all employers with more than 100 workers require them to be vaccinated or test for the virus weekly affecting about 80 million Americans. And the roughly 17 million workers at health facilities that receive federal Medicare or Medicaid also will have to be fully vaccinated.

Biden is also signing an executive order to require vaccination for employees of the executive branch and contractors who do business with the federal government — with no option to test out. That covers several million more workers.

Biden was to announce the new requirements in a Thursday afternoon address from the White House as part of a new “action plan” to address the latest rise in coronavirus cases and the stagnating pace of COVID-19 shots that has raised doubts among the public over his handling of the pandemic.",instagram_447424|2659203217030642710
46,theshaderoom,instagram,https://www.instagram.com/p/CR0GOdXnPLS/,"TSR STAFF: La’Janeé @_lajanee_
____________________ 
Better vax that thang up!
____________________
The state of #California will now require all health care workers and state officials to be vaccinated. 

Those who choose not to be vaccinated are now required to get tested twice a week according @fox11la. 
____________________
On Monday Governor Newsom stated in part “As the state’s largest employer we are leading by example and requiring all state and health care workers to show proof of vaccination or be tested regularly and we are encouraging local governments and businesses to do the same. Vaccines are safe – they protect our family those who truly can’t get vaccinated our children and our economy. Vaccines are the way we end this pandemic."" 
____________________
The vaccination-verification program for—Click the link in bio (📸:@gettyimages)",instagram_164131|2626751864550257362
31,theshaderoom,instagram,https://www.instagram.com/p/CSfjJ4dMjMq/,BREAKING: #Roommates the City of #NewOrleans has just announced that all residents age 12 and up must be vaccinated or show proof of a negative COVID-19 test in order to enter various public spaces such as restaurants bars gyms music venues sports venues and more. (Via: @nolaready),instagram_164131|2638982517384950570
46,theshaderoom,instagram,https://www.instagram.com/p/CR4myVMBIaD/,"TSR STAFF: Christina C! @cdelafresh 
______
With Covid cases climbing New York City officials think they know what will motivate citizens to get vaccinated quickly—cold hard cash.
______
Starting this Friday New York City will pay $100 to anyone who goes to a city-run vaccination site for their first dose of a COVID-19 vaccine NYC Mayor Bill de Blasio said.
______
The announcement comes just days after de Blasio said all city workers would have to be vaccinated or go through strict weekly testing protocols.
______
The incentive is also being offered amid a surge in cases in the city driven by the delta variant of the coronavirus @nbcnewyork reports. Last Friday the rolling average of new daily cases was—click the link in our bio to read more. 📸: @gettyimages",instagram_164131|2628020967062144643
44,theshaderoom,instagram,https://www.instagram.com/p/CSco-JUhFZ4/,"TSR STAFF: Danielle J!
@prettyaries16
__________________
#Roommates as the 2021 school year begins nationwide many states are grappling with how to keep students and faculty as safe as possible despite COVID-19 numbers surging due to the Delta variant—and now California has just taken a historic first step. In a recent announcement California is now the very first state in the country to require teachers and school employees to get vaccinated or commit to regular COVID-19 testing.
___________________
@Newsweek reports during a press conference earlier today California Governor Gavin Newsom formally announced the enforcement of a mask mandate in all state schools. Both teachers and school employees are now required to either receive the COVID-19 vaccine or submit to regular testing. This decision now makes California the first state in the country to enforce a vaccine mandate—which impacts over 319000 teachers in the state and is likely a decision that more states are sure to follow.
____________________
Speaking about his decision for the vaccine mandate for teachers and faculty Governor Newson had this to say: “We need to do more and do better by becoming the first state in the country to require a vaccine mandate or at least verification and/or a testing requirement. We think this is the right thing to do and we think this is-Click The Link In Bio To Read More! 📸: (@gettyimages)",instagram_164131|2638163674208163448
27,cnn,instagram,https://www.instagram.com/p/CShNTyrrxQ3/,More than 80 students were potentially exposed to Covid-19 on the first day of class in Reno Nevada on Monday after a parent sent their child to Marce Herz Middle School despite both the parent and child testing positive for Covid just two days earlier Washoe County Health District officials said. The health district said they are not bringing charges against the parent at this time.,instagram_51207|2639449391310509111
36,jerrynews,instagram,https://www.instagram.com/p/Cj5p4hoOtpM/,"On Friday researchers at Boston University released a preprint of a recent Covid-19 study. Scientists had created a new Covid-19 strain by combining the omicron variant spike protein with the original virus.

Fox News and DailyMail reported that the researchers had developed a more dangerous version of the virus that killed 80% of the mice it was tested on.

Boston University pushed back on the reports in a statement saying the stories were “false and inaccurate.”

“This research is not gain-of-function research meaning it did not amplify the Washington state SARS-CoV-2 virus strain or make it more dangerous” the BU statement said. “In fact this research made the virus replicate less dangerous.”

The National Institutes of Health is investigating whether the Boston University scientists should have obtained their permission before conducting the experiment.",instagram_1181731|2952575235024149068
28,wearebreitbart,instagram,https://www.instagram.com/p/CaGaaraM5rC/,"Four Senate Republicans failed to show up to vote on an amendment that would have defunded President Joe Biden’s remaining vaccine mandates thus ensuring its failure.

The Senate voted on Sen. Mike Lee’s (R-UT) amendment to the continuing resolution (CR) which would defund Biden’s remaining vaccine mandates. The measure failed 46-47 with Sens. Mitt Romney (R-UT) @senatorromney  Jim Inhofe (R-OK) @jiminhofe  Lindsey Graham (R-SC) @lindseygrahamsc  and Richard Burr (R-NC) @senatorburr failing to show up depriving Senate Republicans a potential majority to pass the amendment to the CR.

Senate Majority Leader Chuck Schumer (D-NY) set the vote threshold to a majority and it remains possible that he could have set the threshold to 60 if Republicans had enough votes to pass with a majority; however Democrats broke and voted to defund Biden’s private employer mandate the last time they voted on vaccine mandates. This could have put more pressure on Democrats to support the defunding of Biden’s vaccine mandates.

Lee said after the vote sharing a video of his Senate floor speech demanding to defund the vaccine mandates:

Sens. Joe Manchin (D-WV) and Jon Tester (D-MT) voted in December for a Congressional Review Act (CRA) resolution to defund the private employer vaccine mandate.",instagram_1509241|2776022402846661314
16,theshaderoom,instagram,https://www.instagram.com/p/ChIbhflvMwK/,"TSR Staff: China! @china_lovelace
_______________________ 
#TSRUpdatez: Now idk about this one #Roomies! The US Centers for Disease Control and Prevention (CDC) has issued new guidelines regarding COVID-19. The organization says the nation should move away from restrictive measures such as quarantines and social distancing and focus on reducing severe diseases from Covid-19 According to @CNN. 
_______________________ 
In a news briefing today Greta Massetti branch chief of the Field Epidemiology and Prevention Branch at the CDC said “The current conditions of this pandemic are very different from those of the last two years.”
_______________________ 
With the new guidelines reports show that contact tracing should be limited to hospitals and certain high-risk group-living situations. These are places such as nursing homes and the guidelines de-emphasize the use of regular testing to screen for -click the link in our bio to read more!",instagram_164131|2902691008757943306
29,Breitbart,facebook,https://www.facebook.com/95475020353/posts/10170197196875354,"Dr. Anthony Fauci is urging Americans to get tested for the Chinese coronavirus prior to attending Thanksgiving gatherings adding that ""everybody"" should not only be vaccinated but boosted as well.",facebook_6893|10170197196875354
11,theshaderoom,instagram,https://www.instagram.com/p/CX2C2_4MHJj/,A Royal Caribbean cruise ship has been denied entry into Aruba after 55 people test positive for COVID. They will remain at sea until 12/26 via @miamiherald. This is the second ship in one week that multiple passengers have tested positive for the virus. (SWIPE) (📸:@gettyimages),instagram_164131|2735386399207354979
13,theshaderoom,instagram,https://www.instagram.com/p/ClKS2R0P1x7/,#PressPlay—#TSRPrayersUp: #Tyrese asks people to pray for him and his girlfriend #Zelie because they both tested positive for COVID. (SWIPE),instagram_164131|2975273398650756219
11,hoodratchetv,instagram,https://www.instagram.com/p/CT1xY40rggu/,"France has become the latest European country -- and the most significant tourism destination -- to remove the United States from its safe travel list following EU recommendations in the wake of a US Covid spike.

A French government decree issued on Thursday bumped the United States and Israel from the country's ""green"" list down to ""orange"" effectively prohibiting nonessential travel to France for unvaccinated visitors.
Under France's rules unvaccinated travelers from either country will still be allowed in provided they have an essential reason for travel however they'll need a negative Covid-19 test before travel and must quarantine for seven days on arrival.

France's move follow restrictions imposed on US travelers from several other European destinations. Earlier this week Spain changed its entry policy for arrivals from the US requiring them to have a certificate proving double vaccination.",instagram_447424|2663251969219364910
44,cnn,instagram,https://www.instagram.com/p/CTIa81Lhfh_/,"An unvaccinated elementary school teacher who took off their mask to read to students ended up infecting more than half of them last May -- and they went on to infect other students family members and community members California public health officials reported Friday. It's a prime example of how easy it is to undermine efforts to protect children too young to be vaccinated US Centers for Disease Control and Prevention Director Dr. Rochelle Walensky said. The teacher came to work even though they had Covid-19 symptoms and then took off their mask to read to the young students a team at Marin County Public Health reported in the CDC's weekly report on death and disease. The teacher assumed the symptoms indicated allergies not infection the investigators found. In the classroom of 22 students 12 became infected -- including eight out of 10 students in the two front rows. “The school required teachers and students to mask while indoors; interviews with parents of infected students suggested that students' adherence to masking and distancing guidelines in line with CDC recommendations was high in class. However the teacher was reportedly unmasked on occasions when reading aloud in class"" the report read. Eventually 27 people including the teacher were infected. None were seriously ill and all recovered. Those cases that were analyzed involved the Delta variant of coronavirus although the researchers said they were not necessarily able to test everyone who may have been infected in the outbreak. The CDC highlighted the case as an example of how schools need to follow all recommendations if they want to protect students and staff.

📸: Narongchai Hlawprasert/Adobe Stock Photo",instagram_51207|2650486910187075711
42,wearebreitbart,instagram,https://www.instagram.com/p/CUqFNodrOjJ/,"⬛️SICK AND DISGUSTING⬛️ Florida Gov. Ron DeSantis (R) on Monday announced his wife Casey @flcaseydesantis is battling breast cancer triggering a wave of leftist trolls to unleash hateful wishes and snarky remarks in response to the news.

“I am saddened to report that Florida’s esteemed First Lady and my beloved wife has been diagnosed with breast cancer” DeSantis said in a statement on Monday.

“As the mother of three young children Casey is the centerpiece of our family and has made an impact on the lives of countless Floridians through her initiatives as First Lady” he continued.

“As she faces the most difficult test of her life she will not only have my unwavering support but the support of our entire family as well as the prayers and well wishes from Floridians across our state” the governor added. “Casey is a true fighter and she will never never never give up.”

While the news sparked a mass wave of support even from well-known political critics such as potential Democrat DeSantis challenger Nikki Fried trolls also took advantage.

CNN tweeted the announcement on Monday “Casey DeSantis the wife of Florida Gov. Ron DeSantis has been diagnosed with breast cancer the governor announced Monday.” What followed was a wave of distasteful comments.

“Does DeSantis really think that anyone will have sympathy for either him or his wife?” one asked.

“I hope she has the same chance at surviving Cancer as the unvaccinated people against Covid in Florida” another remarked.

“I’ll give them as much empathy as they’ve given those who have died of COVID” another added.

Other remarks across Twitter include:

“They’re going to be wishing that more people were vaccinated as soon as she starts treatment.”

“Let’s see if he starts telling people to wear a mask around her.”

“I suspect that like other diseases ivermectin / monoclonal antibodies may be the answer.”

“Pity there isn’t a breast cancer vaccine but im sure it would have rejected and ridiculed by these science deniers anyway. Cant feel bad for someone sick who discourages others from being safe.”",instagram_1509241|2677975855458478281
29,theshaderoom,instagram,https://www.instagram.com/p/CW9CFJqJUeY/,"TSR STAFF: Jade Ashley @Jade_Ashley94
_____________________________________
The news of the COVID-19 #omicron variant has been making its rounds as officials have been preparing folks with anticipation that the virus would soon make its way to the United States. It didn't take too long before a case was detected on American soil.
_____________________________________
According to @cnn the first cast of the omicron variant was detected in California. During a news briefing at the White House Dr. Fauci shared details about the case and said that the individual who has been infected traveled from South Africa on November 22nd and tested positive for COVID-19 on November 29th.
_____________________________________
He continued to state that the person who is infected with the virus is fully vaccinated and is experiencing ""mild symptoms which are improving at this point."" The person is currently in quarantine and those who have come in close contact with the individual have tested negative for the virus so far. The California and San Francisco Departments of Public Health and the US Centers for Disease Control and Prevention confirmed the case through genomic sequencing conducted at —read more at TheShadeRoom.com (🎥: @cnn)",instagram_164131|2719338900062816152
38,theshaderoom,instagram,https://www.instagram.com/p/CUojGW4rUOu/,"TSR STAFF: La’Janeé @_lajanee_
____________________ 
As the conversation about showing proof of the COVID vaccine or negative tests continues it appears people are using Facebook to run a few schemes.
____________________
According to court records a Michigan nurse has been charged for allegedly stealing and selling vaccination cards.
____________________
“According to court records Bethann Kierczak 37 was responsible for administering vaccination doses and had access to immunization records at her hospital in Southgate Michigan” The Guardian reports.
____________________
Kierczak is also charged with stealing “vaccine lot numbers” to—Read more at theshaderoom.com (📸:@gettyimages)",instagram_164131|2677544346989708206
5,cnn,instagram,https://www.instagram.com/p/Cc0kDu3NaCr/,"Vice President Kamala Harris has tested positive for Covid-19 the White House announced Tuesday.⁠
⁠
Harris completed her two-dose regimen of the Moderna Covid-19 vaccine in January 2021. She received her first booster dose in late October and a second booster vaccine on April 1.⁠
⁠
Tap the link in our bio for updates.⁠
⁠
📷: Elijah Nouvelage/AFP/Getty Images",instagram_51207|2825041452419358891
38,wearebreitbart,instagram,https://www.instagram.com/p/CnkeLS-pbVN/,"🔴🔴SHOCK🔴🔴 In a strange turn of events Hollywood star Jamie Lee Curtis @jamieleecurtis has deleted an Instagram post after followers noticed a photo in the background depicting  a naked child stuffed in a box with some commenters comparing the apparent artwork to Jeffrey Epstein.

Jamie Lee Curtis who endorsed Joe Biden’s 2020 presidential run and is currently attracting Oscar buzz for her performance in the sci-fi comedy-adventure Everything Everywhere All at Once shared a photo of her Comet Productions office on Instagram on Tuesday. While the actress drew attention to the designer office furniture a photo hanging on the wall ended up stealing the show.

The photo depicts a naked child stuffed awkwardly into a box with legs crammed together at uncomfortable angles and what appears to be a look of discomfort on the child’s face. It remains unclear who the photographer is and what the piece is meant to represent.

In her original Instagram post the actress revealed she tested positive for COVID. She also explained why she posted a picture of her office though she didn’t address the bizarre photo in the background.

“Ok. This is a weird post. But I have Covid so f*ck it. During one of the SAG nomination panels for @everythingeverywheremovie I told the story of how I ended up with my office furnished with my beautiful Pollack chairs from that movie” she wrote.

“I mentioned if people followed me that was not a cheap trick to try to get people to boost my numbers but I couldn’t figure out how else to get the picture out into the world that I would post a picture of them on my IG in my offices for @comet.pictures and I am a truth teller so here you go.”

Jamie Lee Curtis recently revealed that her son Thomas transitioned into a woman and now goes by the name Ruby. The actress said she fears transphobia toward her son-turned-daughter.

“I have a trans daughter. There are threats against her life just [for] her existence as a human being” Curtis told a Spanish radio station in October.",instagram_1509241|3018670367933052237
71,theshaderoom,instagram,https://www.instagram.com/p/Cgpa4jYPyxC/,#TSRUpdatez—#TSRPrayersUp: #PresidentBiden is back in isolation after testing positive for COVID-19 yet again. Wishing him a speedy recovery! 🙏🏾(SWIPE)(📸: @gettyimages ),instagram_164131|2893962471049997378
60,theshaderoom,instagram,https://www.instagram.com/p/CZcW3cYpOqM/,"TSR STAFF: Brianne D! @beedev_
____________________________________
#RKelly and his legal team have been granted a two-week extension on his deadline to appeal his federal racketeering case after he tested positive for COVID on Tuesday.
____________________________________
As we've previously reported Kelly's team has fought for his release on various occasions and have even pulled the COVID card a few times before. According to. report by @RollingStone U.S. District Judge Ann M. Donnelly ruled that R. Kelly now has until Feb. 17th to formally appeal his September conviction of at least 10 years in prison.
____________________________________
R. Kelly was convicted on charges alleging he had sex with underage girls and bribed a state employee to create a fake ID so he could marry the late singer Aaliyah who was—click the link in our bio to read more! (📸: @gettyimages)",instagram_164131|2764184838371338892
74,theshaderoom,instagram,https://www.instagram.com/p/CaV1ZXyplF_/,"#TSRUpdatez: According to @CNN Britain's #QueenElizabethII spoke with UK Prime Minister #BorisJohnson today says a Buckingham Palace spokesperson despite suffering mild symptoms after testing positive for COVID-19. 
___________________________ 
If you recall over the weekend we reported she contacted the virus. Reports also show Prime Minister Johnson was supposed to meet with the Queen in person but it was held virtually to follow current government guidelines. Although the Queen is vaccinated there are no other updates on her health status. (SWIPE) 📷: (@gettyimages )",instagram_164131|2780363184968978815
29,wearebreitbart,instagram,https://www.instagram.com/p/CWswPD-L4Tx/,"🤦🏾🦃🤦🏻‍♂️🦃🤦🏽‍♀️Adding to the litany of intense Thanksgiving suggestions in the age of coronavirus a psychologist on CBS said that people should consider serving their guests “hor d’oeuvres in the garage” as they await results on rapid virus tests.

During a segment on CBS Mornings psychologist Lisa Damour was asked how hosts should address people’s vaccination or non-vaccination status over Thanksgiving dinner. “It might be a difficult conversation before people step into your house to say ‘whoa wait a minute where’s your card what’s your status?’ before you walk into my home'” a host said.

“This is tough because people are all over the map on this” responded Damour. “They’re also all over the map with their risk tolerance. But the rapid tests have made this a lot easier. Whatever people’s vaccination status is we can actually confirm safety on the spot.”

“If the situation feels weird maybe make it kind of fun” she continued. “And say ‘we’re going to start with hors d’oeuvres in the garage. You know we’ll have drinks we’ll do our rapid tests and then come on in’ right?” You can make it playful make it fun and then be able to enjoy the holiday because you’re not worried about safety.”

Damour’s suggestion was just one other over-the-top suggestion in a string of over-the-top suggestions. Axios for instance recommended on Tuesday that homes should have “Thanksgiving bouncers” to sift through the non-compliers.

“No one really wants this job but millions of households may need their own Thanksgiving bouncer. The cover charge is a negative COVID test done ahead of arrival or outside the front door” the article said. “Normalizing rapid tests is a practical way to help extended families feel a little more normal around the holiday dinner table.”",instagram_1509241|2714756816686777585
20,hoodratchetv,instagram,https://www.instagram.com/p/CcmC9wKNJYx/,"Netflix the world's largest streaming video company warned a global crackdown on password sharing is coming. It seems like a serious warning this time and it could mean an end to the rampant practice of borrowing a family member's or friend's — or loose acquaintance's — login information.

Netflix said it estimates more than 30 million U.S. and Canadian households are using a shared password to access its content. The company said more than 100 million additional households were likely using a shared password worldwide.

In its quarterly shareholder letter Netflix acknowledged it has purposefully allowed generous out-of-home password sharing because it helped get users hooked on the service. But with competition from Disney Warner Bros. Discovery Paramount Global NBCUniversal Apple TV+ and other streamers eating into its growth Netflix said it wants the millions of households sharing passwords to start paying.

""Our relatively high household penetration — when including the large number of households sharing accounts — combined with competition is creating revenue growth headwinds"" Netflix said in its letter. ""Account sharing as a percentage of our paying membership hasn't changed much over the years but coupled with the first factor means it's harder to grow membership in many markets — an issue that was obscured by our COVID growth.""

Netflix reported a loss of 200000 paid subscribers in the first quarter ended March 31 — the first time in more than 10 years Netflix has lost subscribers during a quarter. The company projected it will lose 2 million more subscribers in the second quarter.

The streaming platform currently has 222 million subscribers worldwide. It enjoyed booming growth during the pandemic but that customer surge has subsided — and now turned negative — as Covid-19 quarantines have largely lifted.",instagram_447424|2820955256286123569
71,ABC News,facebook,https://www.facebook.com/86680728811/posts/10161871559298812,BREAKING: Dr. Anthony Fauci has tested positive for COVID-19.,facebook_13878|10161871559298812
23,wearebreitbart,instagram,https://www.instagram.com/p/CSFnFzSnkg1/,"The White House defended former President Barack Obama’s decision to host a massive 60th birthday bash at Martha’s Vineyard despite the event defying guidelines from the Centers for Disease Control.

“I would note first that former President Obama has been a huge advocate of individuals getting vaccinated” White House press secretary Jen Psaki said during the daily briefing.

Nearly 700 people are expected to mingle during the party according to reports including at least 200 staff and 475 invited guests creating fears of a coronavirus “super-spreader” event on the island.

Psaki defended the Obama birthday bash noting that it would be held outdoors and that Martha’s Vineyard was in a “moderate” spread zone identified by the CDC. She also said that Obama’s event would have some level of testing for the virus for attendees.

Pearl Jam is expected to perform at the event that will be held outdoors on Obama’s $12 million property at Martha’s Vineyard.

Martha’s Vineyard boards of health last week issued a mask advisory for anyone unable to maintain social distance or while indoors presumably anyone attending the party.

Psaki referred additional questions from reporters about the event to Obama and his staff.

“We certainly advise everyone to follow public health guidelines which I know the former president who is a huge advocate of getting vaccinated of following the guidance of public health experts would certainly advocate for himself as well” she concluded.

President Joe Biden is not expected to attend the event according to the White House.",instagram_1509241|2631681479752435765
53,theshaderoom,instagram,https://www.instagram.com/p/CUqomS-MOO4/,"TSR STAFF: Jade Ashley @Jade_Ashley94
_____________________________________
It looks like ESPN viewers will not be seeing #SageSteele on their screens for the next week following her recent comments and also due to her testing positive for COVID.
_____________________________________
She recently started to face backlash after she appeared on Jay Cutler's podcast ""Uncut With Jay Cutler"" where she made a controversial comment about Barack Obama's racial identity. However that was not all she reportedly referred to Disney's vaccine mandate as ""sick"" and noted that she didn't want to get the shot although she did. She also faced backlash for suggesting that some female journalists may attract harassment due to their choice of clothing.
_____________________________________
According to @variety ESPN said in. a statement ""At ESPN we embrace different points of view — dialogue and discussion makes this place great. That said we expect that those points of view be expressed respectfully in a manner consistent with our values and in line with our internal policies. We are having direct conversations with Sage and those conversations will remain private."" Sage also addressed the matter and said ""I know my recent—read more at TheShadeRoom.com (📸: @gettyimages)—(🎥: @podcastone)",instagram_164131|2678131481996485560
50,cnn,instagram,https://www.instagram.com/p/CSKkayoMnlc/,"Pete Parada says he's been dropped from his band The Offspring and their tour over his refusal to get vaccinated. The drummer posted a lengthy note on Instagram saying ""Given my personal medical history and the side-effect profile of these jabs my doctor has advised me not to get a shot at this time."" He said he has ""no negative feelings"" toward the band he's been a part of since 2007.⁠
⁠
(📸: MediaPunch/Shutterstock)",instagram_51207|2633077102893758812
