,Topic Number,Posts,Theme,Content Details,metaTopic,COMB,iteration,new
28,47,246,News about early cases of the Omicron variant in Georgia and other news about COVID in Georgia,"Several in particular about a GA resident then in NJ who tested positive for omicron variant after travel to South Africa - so must've been mostly early Omicron. Though some others just I guess about ""Georgia""",News about local COVID case/transmission levels and variants,M-Ref,0,1
29,65,141,News updates on COVID testing data in Georgia/Atlanta,"Maybe lots of daily posts - several showing from ""All On Georgia - Chattanooga""",News about local COVID case/transmission levels and variants,M-Ref,0,1
30,3,675,Sharing of COVID symptoms experiences and questions,"Survivor Corps-type posts -- less so about long COVID (though still some) but more about first/early experiences and questions having tested for COVID.

I'd guess probably earlier posts than in Topic #0",Sharing of symptoms and experiences with (long) COVID,M-Ref,0,1
31,4,673,Sharing of COVID symptoms experiences and questions,Survivor Corps-type posts sharing experiences/rants and also some questions. More talk of COVID testing / test results. Some mentions of other people not wanting to test for COVID.,Sharing of symptoms and experiences with (long) COVID,M-Ref,0,1
32,12,508,Sharing of experiences with long-lasting COVID symptoms and COVID/health testing,Survivor Corps-type posts,Sharing of symptoms and experiences with (long) COVID,M-Ref,0,0
33,15,470,Sharing of experiences with COVID symptoms and testing,Survivor Corps-type posts,Sharing of symptoms and experiences with (long) COVID,M-Ref,0,0
34,17,444,Sharing of experiences with long-lasting COVID symptoms and testing positive again,Survivor Corps-type posts. Some more talk about COVID testing / test results experience.,Sharing of symptoms and experiences with (long) COVID,M-Ref,0,0
35,33,310,Sharing of experiences with and questions about COVID symptoms and testing,Survivor Corps-type posts. Maybe some more talk about testing experiences / test results,Sharing of symptoms and experiences with (long) COVID,M-Ref,0,0
36,39,272,Sharing information and experiences around long COVID and getting COVID,"Relevant posts have COVID-19 Long Haulers Support others are also more individuals posting. Most relevant posts don't really mention COVID ""testing""",Sharing of symptoms and experiences with (long) COVID,M-Ref,0,0
37,70,115,Announcement of request by GA DPH for people seeking COVID testing to not go to hosptial emergency departments,Most relevant posts are all news about DPH telling people not to go to the emergency room for COVID - but random posts seem not that,Information about COVID testing at hospitals,O-Phy,0,1
38,11,523,News about COVID-19 testing policies and guidelines for travel,,News and information about COVID testing requirements/policies/guidelines,O-Phy,0,0
39,27,338,Information on school COVID testing requirements and guidelines,School/local govt accounts news CDC,News and information about COVID testing requirements/policies/guidelines,O-Phy,0,1
40,28,336,News and (mis)info about Biden's federal vaccine and testing mandate for employees,News sites misinfo posts,News and information about COVID testing requirements/policies/guidelines,O-Phy,0,1
41,31,321,Announcements and news about COVID testing requirements to enter venues and events,,News and information about COVID testing requirements/policies/guidelines,O-Phy,0,1
42,43,249,News about US COVID test requirements for travelers from China and other news about COVID testing in China,,News and information about COVID testing requirements/policies/guidelines,O-Phy,0,0
43,44,249,News about school COVID vaccine and testing requirements,Possibly more accounts from Black-audience media/accounts?,News and information about COVID testing requirements/policies/guidelines,O-Phy,0,1
44,46,247,News about employer policies for COVID vaccination and testing,,News and information about COVID testing requirements/policies/guidelines,O-Phy,0,0
45,2,722,Promotion of and information about COVID-19 testing sites,,Promotion of and information about COVID testing sites/events,O-Phy,0,1
46,19,427,News and information about test site closings,,Promotion of and information about COVID testing sites/events,O-Phy,0,0
47,22,390,Promotion of COVID vaccination and test events,Moreso about events (being put on by orgs like HHCGA) rather than test sites per se,Promotion of and information about COVID testing sites/events,O-Phy,0,0
48,48,230,Promotion of community events held by organizations with COVID testing,Lots of CLILA posts,Promotion of and information about COVID testing sites/events,O-Phy,0,0
49,51,229,Promotion of and information about COVID vaccine and testing sites and community events,Lots of CLILA posts,Promotion of and information about COVID testing sites/events,O-Phy,0,1
50,54,199,Information about where to get free COVID tests and guidelines on when to test,Should check time - seems like it's still about on-location testing sites and not take-away test kits,Promotion of and information about COVID testing sites/events,O-Phy,0,1
51,81,30,Information about and promotion of community organization events with free COVID testing,Posts about resources/events by La Asociación Latinoamericana (LAA) Spanish language,Promotion of and information about COVID testing sites/events,O-Phy,0,1
52,6,629,Promotion of government-provided free home test kits,,Promotion of and information about free COVID home test kits,O-Phy,0,0
53,40,272,News about health insurance coverage of COVID at-home tests,Not just from news media accounts - some health orgs Survivor Corps random accounts,Promotion of and information about free COVID home test kits,O-Phy,0,1
54,41,271,News and announcements about local county government COVID test kit distribution,Fulton Clayton. Some news media some local govt accounts,Promotion of and information about free COVID home test kits,O-Phy,0,0
55,49,229,News about federal distribution of free COVID test kits,,Promotion of and information about free COVID home test kits,O-Phy,0,1
56,62,160,News about (ending) funding to provide COVID test kits for free especially for uninsured people,,Promotion of and information about free COVID home test kits,O-Phy,0,1
57,57,176,Promotion of COVID support within communities including resources for testing,Most relevant posts from COVID-19 Long Haulers Support FB group - which aren't actually realy about COVID testing. Though some of the random posts then do talk more about COVID testing to protect/take care of community,Encouragement of COVID prevention and support within communities,O-Soc,0,0
58,5,632,News about politicians/government employees (VP Harris and Mayor Andre Dickens) testing positive for COVID,,News about public figures testing positive for COVID,O-Soc,0,0
59,23,368,News about Pres. Biden testing positive for COVID,,News about public figures testing positive for COVID,O-Soc,0,0
60,35,286,News about politicians and public figures testing positive for COVID,,News about public figures testing positive for COVID,O-Soc,0,1
61,50,229,News about COVID protocols in professional sports and athletes testing positive for COVID,,News about public figures testing positive for COVID,O-Soc,0,0
62,52,219,News about Olympics athletes testing positive for COVID,,News about public figures testing positive for COVID,O-Soc,0,0
63,53,209,News about public figures in media and performers testing positive for COVID and cancelling events and appearances,,News about public figures testing positive for COVID,O-Soc,0,0
64,59,174,News about politicians and public figures testing positive for COVID,,News about public figures testing positive for COVID,O-Soc,0,0
65,63,148,News about animals in zoos testing positive for COVID,Mostly (though maybe not all) local - Zoo Atlanta,News about public figures testing positive for COVID,O-Soc,0,1
66,71,114,News about politicians/government employees (Pres. Obama and Dr. Fauci) testing positive for COVID,,News about public figures testing positive for COVID,O-Soc,0,0
67,74,78,News about public figures (British royal family) testing positive for COVID,,News about public figures testing positive for COVID,O-Soc,0,0
68,78,43,News about public figures (Rev. Jesse Jackson and Jacqueline Jackson) testing positive for COVID,All posts here are from Black audience accounts,News about public figures testing positive for COVID,O-Soc,0,0
69,13,501,Sharing of experiences with and information about the importance of COVID testing,Mix of news and (notable) individuals' accounts some Survivor Corps …,Sharing of test results and experiences,O-Soc,0,1
